State_x,County_x,Obesity_Rate,FIPS,State_y,County_y,fast_food_density
KY,Todd,39.6,21219,KY,Todd,0.401670963
LA,Plaquemines,39.8,22075,LA,Plaquemines,0.605719745
LA,West Baton Rouge,40.6,22121,LA,West Baton Rouge,0.895789802
LA,Vermilion,39.1,22113,LA,Vermilion,0.387348861
KY,McCracken,41.6,21145,KY,McCracken,1.142526388
KY,Morgan,38.7,21175,KY,Morgan,0.532643437
KY,Leslie,43.7,21131,KY,Leslie,0.311300188
KY,Greenup,43.8,21089,KY,Greenup,0.516277075
LA,Lafayette,34.7,22055,LA,Lafayette,1.030350685
KY,Perry,41.0,21193,KY,Perry,0.864236355
KY,Hart,38.2,21099,KY,Hart,0.315573543
KY,Elliott,42.2,21063,KY,Elliott,0.406945199
LA,Red River,46.4,22081,LA,Red River,0.482741982
KY,Warren,36.3,21227,KY,Warren,0.825217485
KY,Bullitt,38.1,21029,KY,Bullitt,0.571901381
LA,Orleans,38.1,22071,LA,Orleans,1.009048104
KY,Simpson,41.0,21213,KY,Simpson,1.073249221
KY,Scott,36.4,21209,KY,Scott,0.667008698
KY,Boone,38.5,21015,KY,Boone,0.967532277
LA,Evangeline,46.3,22039,LA,Evangeline,0.300516903
LA,Caldwell,39.1,22021,LA,Caldwell,0.508181751
LA,East Feliciana,40.3,22037,LA,East Feliciana,0.370723426
KS,Montgomery,45.1,20125,KS,Montgomery,0.79360038
KY,Madison,35.9,21151,KY,Madison,0.710762203
KY,Breathitt,43.1,21025,KY,Breathitt,0.557768941
LA,Ascension,36.8,22005,LA,Ascension,0.847161233
KY,Powell,39.7,21197,KY,Powell,0.654771626
KY,Lewis,46.3,21135,KY,Lewis,0.301613629
KY,Jackson,41.9,21109,KY,Jackson,0.374812603
KY,Logan,40.2,21141,KY,Logan,0.474175662
KY,Barren,40.7,21009,KY,Barren,0.744920969
KY,Harlan,44.7,21095,KY,Harlan,0.860517859
KY,Jessamine,36.7,21113,KY,Jessamine,0.702961683
KY,Christian,41.8,21047,KY,Christian,0.685525596
KY,Edmonson,42.7,21061,KY,Edmonson,0.245198205
ME,Franklin,33.4,23007,ME,Franklin,0.666977942
KY,Crittenden,41.0,21055,KY,Crittenden,0.452130675
LA,Allen,40.9,22003,LA,Allen,0.471698105
KY,Knott,42.5,21119,KY,Knott,0.344542444
KY,Owen,38.8,21187,KY,Owen,0.544612885
KS,Wyandotte,41.5,20209,KS,Wyandotte,0.665597677
KS,Phillips,37.6,20147,KS,Phillips,0.965064645
KY,Webster,38.2,21233,KY,Webster,0.619051278
KY,Russell,40.0,21207,KY,Russell,0.500055552
KY,Hopkins,40.7,21107,KY,Hopkins,0.649321556
ME,Hancock,28.3,23009,ME,Hancock,0.889485896
KY,Johnson,42.4,21115,KY,Johnson,0.772657037
LA,Richland,43.3,22083,LA,Richland,0.399720192
KS,Scott,41.2,20171,KS,Scott,1.043841362
KY,Allen,41.8,21003,KY,Allen,0.422475696
KY,Montgomery,42.3,21173,KY,Montgomery,0.674093544
KY,Woodford,35.1,21239,KY,Woodford,0.709882319
KY,Daviess,35.6,21059,KY,Daviess,0.725646734
LA,De Soto,40.0,22031,LA,De Soto,0.433996379
LA,West Feliciana,40.4,22125,LA,West Feliciana,0.387972832
LA,Bossier,44.7,22015,LA,Bossier,0.872127295
LA,Acadia,36.8,22001,LA,Acadia,0.549113333
KY,Martin,43.3,21159,KY,Martin,0.906536102
KS,Pawnee,41.5,20145,KS,Pawnee,0.628338039
KY,Jefferson,37.2,21111,KY,Jefferson,0.896472991
KS,Seward,45.5,20175,KS,Seward,0.665462494
KY,Union,38.9,21225,KY,Union,0.623139262
LA,Winn,43.6,22127,LA,Winn,0.505816877
KY,Bath,38.4,21011,KY,Bath,0.640974283
KS,Wilson,40.5,20205,KS,Wilson,0.358765841
KY,McCreary,43.2,21147,KY,McCreary,0.292894393
KY,Lee,43.3,21129,KY,Lee,0.550357759
LA,Iberia,43.4,22045,LA,Iberia,0.623269677
KS,Riley,35.2,20161,KS,Riley,0.683041453
KY,Franklin,37.6,21073,KY,Franklin,0.821628392
LA,Lincoln,42.0,22061,LA,Lincoln,0.859254181
LA,St. Martin,40.9,22099,LA,St. Martin,0.490992188
LA,St. Tammany,35.1,22103,LA,St. Tammany,0.732597947
KY,Bourbon,40.5,21017,KY,Bourbon,0.703482211
KY,Clay,43.2,21051,KY,Clay,0.560338259
LA,Vernon,39.5,22115,LA,Vernon,0.605503798
KY,Estill,42.2,21065,KY,Estill,0.496137232
LA,Webster,45.7,22119,LA,Webster,0.843370318
KY,Meade,37.8,21163,KY,Meade,0.34945485
LA,Claiborne,45.1,22027,LA,Claiborne,0.515862763
KY,Muhlenberg,41.4,21177,KY,Muhlenberg,0.590997159
LA,St. John the Baptist,43.8,22095,LA,St. John the Baptist,0.729137242
LA,Rapides,42.0,22079,LA,Rapides,0.785582602
LA,Beauregard,36.8,22011,LA,Beauregard,0.527969182
KY,Laurel,41.1,21125,KY,Laurel,0.636859477
KY,Bell,44.2,21013,KY,Bell,1.177301645
KY,Ohio,40.3,21183,KY,Ohio,0.543955803
KY,Larue,42.3,21123,KY,Larue,0.623657405
KS,Pratt,38.7,20151,KS,Pratt,1.095650315
KY,Carter,42.9,21043,KY,Carter,0.79119885
ME,Cumberland,29.4,23005,ME,Cumberland,0.875512838
KY,Adair,37.3,21001,KY,Adair,0.511378169
KY,Henry,40.6,21103,KY,Henry,0.373436242
ME,Androscoggin,36.4,23001,ME,Androscoggin,0.819921315
KY,Trigg,40.3,21221,KY,Trigg,0.541418493
KY,Oldham,34.2,21185,KY,Oldham,0.402991086
KY,Campbell,35.5,21037,KY,Campbell,0.79770261
KY,Grayson,42.2,21085,KY,Grayson,0.717522681
LA,Lafourche,42.7,22057,LA,Lafourche,0.614779294
KS,Saline,37.9,20169,KS,Saline,1.001372218
LA,Assumption,41.2,22007,LA,Assumption,0.323759317
KY,Caldwell,38.0,21033,KY,Caldwell,0.788208425
KY,Floyd,39.9,21071,KY,Floyd,0.857780039
KY,Anderson,38.1,21005,KY,Anderson,0.700740159
LA,Franklin,45.1,22041,LA,Franklin,0.709831178
KY,Boyd,40.8,21019,KY,Boyd,1.440364599
KS,Reno,38.0,20155,KS,Reno,0.776787043
KY,Pulaski,39.3,21199,KY,Pulaski,0.656188011
KY,Kenton,34.7,21117,KY,Kenton,0.607327223
KY,Clinton,39.6,21053,KY,Clinton,0.890207708
KY,Marion,41.1,21155,KY,Marion,0.673086882
KS,Neosho,42.8,20133,KS,Neosho,0.439450055
KY,Knox,40.6,21121,KY,Knox,0.805879712
KY,Nelson,34.4,21179,KY,Nelson,0.581270158
KY,Fulton,45.4,21075,KY,Fulton,0.672043025
KY,Henderson,40.3,21101,KY,Henderson,0.737595022
KY,Rockcastle,40.5,21203,KY,Rockcastle,0.597014904
LA,St. Bernard,44.1,22087,LA,St. Bernard,0.713581145
KY,Boyle,38.0,21021,KY,Boyle,0.922053516
KY,Lincoln,40.2,21137,KY,Lincoln,0.367857426
LA,Jefferson Davis,42.3,22053,LA,Jefferson Davis,0.640861332
LA,Calcasieu,43.0,22019,LA,Calcasieu,0.895184696
KS,Sherman,40.5,20181,KS,Sherman,1.384801745
KY,Hancock,38.4,21091,KY,Hancock,0.343170911
KY,Pike,41.2,21195,KY,Pike,1.034053683
KY,Fleming,41.0,21069,KY,Fleming,0.205437243
KS,Pottawatomie,31.2,20149,KS,Pottawatomie,0.606747031
LA,Natchitoches,45.0,22069,LA,Natchitoches,0.610808671
MI,Osceola,38.7,26133,MI,Osceola,0.383533627
MI,Benzie,35.0,26019,MI,Benzie,0.672193587
MN,Carver,33.1,27019,MN,Carver,0.553652704
MI,Mackinac,38.1,26097,MI,Mackinac,1.383891463
MI,Iron,37.1,26071,MI,Iron,0.72293514
MN,Meeker,41.1,27093,MN,Meeker,0.385587603
MN,Hubbard,40.0,27057,MN,Hubbard,0.367258877
MD,Talbot,31.7,24041,MD,Talbot,0.946662366
MI,Chippewa,39.3,26033,MI,Chippewa,0.541154802
MD,Carroll,31.5,24013,MD,Carroll,0.739242554
MI,Oakland,29.7,26125,MI,Oakland,0.853637815
MI,Wayne,36.7,26163,MI,Wayne,0.785350978
MI,Emmet,31.4,26047,MI,Emmet,0.899766088
MI,Kalkaska,35.7,26079,MI,Kalkaska,0.499916673
MI,Allegan,31.6,26005,MI,Allegan,0.554962277
MN,Winona,34.8,27169,MN,Winona,0.732890964
MN,Pine,38.9,27115,MN,Pine,0.476855487
MN,Renville,38.4,27129,MN,Renville,0.347149909
MN,Swift,39.7,27151,MN,Swift,0.653879702
MI,Houghton,34.2,26061,MI,Houghton,0.59784776
MD,Wicomico,36.7,24045,MD,Wicomico,0.894316733
MN,St. Louis,36.7,27137,MN,St. Louis,0.679970562
MN,Le Sueur,38.7,27079,MN,Le Sueur,0.173967496
ME,Washington,37.7,23029,ME,Washington,0.413052469
MN,Stearns,38.4,27145,MN,Stearns,0.703538656
MA,Franklin,25.8,25011,MA,Franklin,0.455405802
MI,Washtenaw,30.1,26161,MI,Washtenaw,0.799513221
MI,Macomb,36.7,26099,MI,Macomb,0.798124909
MN,Yellow Medicine,39.6,27173,MN,Yellow Medicine,0.626304805
MN,Brown,39.9,27015,MN,Brown,0.684214771
MD,Worcester,36.2,24047,MD,Worcester,1.717458963
MN,Morrison,39.8,27097,MN,Morrison,0.662910163
MN,Big Stone,42.6,27011,MN,Big Stone,0.812512696
MI,Montmorency,38.0,26119,MI,Montmorency,0.321302354
MN,Roseau,33.3,27135,MN,Roseau,0.19845207
MI,Gladwin,38.1,26051,MI,Gladwin,0.511327863
MD,Montgomery,24.2,24031,MD,Montgomery,0.783406973
MS,Attala,44.4,28007,MS,Attala,0.722061753
MI,Barry,33.8,26015,MI,Barry,0.354489923
MN,Lyon,45.5,27083,MN,Lyon,0.910134137
MN,Cook,34.8,27031,MN,Cook,0.923020124
MN,Aitkin,36.2,27001,MN,Aitkin,0.567894995
MD,Calvert,33.9,24009,MD,Calvert,0.719872773
MA,Worcester,32.7,25027,MA,Worcester,0.691017509
MI,Alcona,36.6,26001,MI,Alcona,0.475963831
MI,Monroe,38.0,26115,MI,Monroe,0.670793235
MI,Marquette,32.0,26103,MI,Marquette,0.729106545
MI,Ionia,38.7,26067,MI,Ionia,0.43375212
MN,Rice,35.0,27131,MN,Rice,0.536640644
MN,Goodhue,36.4,27049,MN,Goodhue,0.647696376
ME,Sagadahoc,30.7,23023,ME,Sagadahoc,0.665852845
MI,Kent,33.5,26081,MI,Kent,0.768170416
MA,Hampden,35.9,25013,MA,Hampden,0.605621696
MD,Prince George's,36.0,24033,MD,Prince George's,0.930066884
MN,Benton,37.2,27009,MN,Benton,0.561550856
MD,Harford,34.8,24025,MD,Harford,0.661980867
